room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
17991772,1309,66378068,Entire home/apt,,Boston,,South Boston Waterfront,10,4.5,6,2.0,,270.0,,Amazing Two Bedroom in the Heart of the Seaport!,2017-06-10 12:57:02.529218,42.348673,-71.038986,0101000020E61000001EC022BF7EC251C0C5FF1D51A12C4540
15581154,1309,72375513,Entire home/apt,,Boston,,Jamaica Plain,7,4.0,4,2.0,,299.0,,Luxury Stay Boston/ 2 bedrooms,2017-06-10 12:57:01.421578,42.326463,-71.112859,0101000020E6100000CB83F41439C751C0512D228AC9294540
13140867,1309,1386951,Entire home/apt,,Boston,,North End,46,5.0,2,1.0,,250.0,,North End flat just off Hanover Street (23T#1),2017-06-10 12:57:01.419336,42.366179,-71.054331,0101000020E61000002D0ABB287AC351C0B2BD16F4DE2E4540
16459191,1309,107981961,Entire home/apt,,Boston,,Back Bay,11,5.0,3,0.0,,250.0,,Historic & Gorgeous Back Bay Studio,2017-06-10 12:57:01.415029,42.355195,-71.074337,0101000020E61000007FF8F9EFC1C451C0F3599E07772D4540
6317722,1309,9410008,Entire home/apt,,Boston,,South Boston,76,5.0,4,2.0,,225.0,,Brand New 2 BR | 1 BA in So. BOS #3,2017-06-10 12:57:01.412859,42.334338,-71.044829,0101000020E6100000643A747ADEC251C0B0E76B96CB2A4540
17795007,1309,3715192,Entire home/apt,,Boston,,Roxbury,8,5.0,4,2.0,,250.0,,Sunny Spacious South End 2 Bedroom!,2017-06-10 12:57:01.410588,42.338963,-71.082975,0101000020E6100000AED85F764FC551C0EBC6BB23632B4540
15264864,1309,3023813,Entire home/apt,,Boston,,Back Bay,39,4.5,4,1.0,,250.0,,Designer 1 BR Classic Marlborough Brownstone,2017-06-10 12:57:01.404666,42.352763,-71.080851,0101000020E61000005436ACA92CC551C0931E8656272D4540
18808240,1309,22110106,Entire home/apt,,Boston,,South End,3,5.0,2,0.0,,220.0,,Bostons Best Studio,2017-06-10 12:57:01.400773,42.340757,-71.079537,0101000020E61000009B745B2217C551C00971E5EC9D2B4540
15435324,1309,55655463,Entire home/apt,,Boston,,Back Bay,3,5.0,2,1.0,,229.0,,Modern Back Bay 1BR,2017-06-10 12:57:01.396843,42.350582,-71.089374,0101000020E610000037C7B94DB8C551C07C48F8DEDF2C4540
11972989,1309,9258077,Entire home/apt,,Boston,,South Boston,15,5.0,4,2.0,,285.0,,2BD/ 2BA Brownstone condo blocks from beach!,2017-06-10 12:57:01.380090,42.332865,-71.03763,0101000020E61000004DD6A88768C251C0D47D00529B2A4540
14995900,1309,22591136,Entire home/apt,,Boston,,Downtown,34,4.5,4,1.0,,219.0,,In the Heart of Boston!! Walk everywhere!!,2017-06-10 12:57:01.375994,42.35541,-71.061363,0101000020E6100000CE8B135FEDC351C0EF552B137E2D4540
15451419,1309,99114901,Entire home/apt,,Boston,,South End,9,5.0,3,2.0,,242.0,,"Luxury Apartment, 2 Bedrooms, 2 Baths, 5 Stars!",2017-06-10 12:57:01.373765,42.33922,-71.071838,0101000020E61000000B2769FE98C451C016139B8F6B2B4540
